title,price,link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ZBook Studio 12th Gen Intel Core i9-12900H 16 inch(40.6 cm) WUXGA Display Creator Laptop 400 nits/32GB RAM/1TB SSD/NVIDIA GeForce RTX 3080 Ti 16GB Graphics/Win 11/MSO/B&O/FPR, G9 Workstation PC  ","3,73,192",https://amezon.in//HP-ZBook-Studio-G9-Workstation/dp/B0C1CNB859/ref=sr_1_215?crid=18GH7ZDODC7UD&dib=eyJ2IjoiMSJ9.RY2aUyEQM0jnKqQrTaLdSgk7wBRbj9ro6Jdh7HSePdj4qPcNE7VYbNyxb94O9twxgjf1HQ_x61fF8oXA9smbJqI4hVSrSI6A3QfeKqdyaNTTEI3Sd5eI1nxdfJlkn94J7rbTY8PD7FvKb1BOj0vds4vKLwGlxtRNq7tYfaEZ6kDajhjXiMx868v2niZIE5csJ1PcCLFKUeKlImAn43TlNjjQnt3sbjrqj7AFs6z3NCc.mivo-ZxrCfCxWb1mg3WiE5IY-qQZ-0aXwTpAaI6-Pas&dib_tag=se&keywords=laptop&qid=1723180182&sprefix=l%2Caps%2C256&sr=8-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ZBook Studio 12th Gen Intel Core i9-12900H 16 inch(40.6 cm) WUXGA Display Creator Laptop 400 nits/32GB RAM/1TB SSD/NVIDIA GeForce RTX 3080 Ti 16GB Graphics/Win 11/MSO/B&O/FPR, G9 Workstation PC  ","3,73,192",https://amezon.in//HP-ZBook-Studio-G9-Workstation/dp/B0C1CNB859/ref=sr_1_308?crid=18GH7ZDODC7UD&dib=eyJ2IjoiMSJ9.yAgIJjVGUl1MPJEup47VNTy2cWCzPcr3kzNRu5t3s18lUatVl6bkADhTfA7f3bYfCGWA9mnqiFY6ytOM4b_rB3gVaKf7RloN7sDGBBp0xzlfKKDttYQP-V3y7M7-JwhuXFJVRcIM96MwbBd8oUcMXMKSRkN28-XoyrrevdHiJzAhhvJqCkLuuvUGSTJ1wbenKaufwTtYG79UeY-bgCRd_z6Q6MGCKZ7fBgo8vlnMLAk.IJPul-JlmkfJnztlTBWRbXKhSgYN95IwwiEDL8wCfOk&dib_tag=se&keywords=laptop&qid=1723180250&sprefix=l%2Caps%2C256&sr=8-308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14â€‘core CPU and 30â€‘core GPU, 36GB Unified Memory, 1TB) - Space Black  ","3,19,990",https://amezon.in//sspa/click?ie=UTF8&spc=MTo2MjQ3MjQxNjcxMDEyODc0OjE3MjMxODAyNTE6c3BfbXRmOjMwMDA4NTQwMzIxOTUzMjo6MDo6&url=%2FApple-MacBook-16-inch-14%25E2%2580%2591core-30%25E2%2580%2591core%2Fdp%2FB0CM5S7HF6%2Fref%3Dsr_1_300_sspa%3Fcrid%3D18GH7ZDODC7UD%26dib%3DeyJ2IjoiMSJ9.yAgIJjVGUl1MPJEup47VNTy2cWCzPcr3kzNRu5t3s18lUatVl6bkADhTfA7f3bYfCGWA9mnqiFY6ytOM4b_rB3gVaKf7RloN7sDGBBp0xzlfKKDttYQP-V3y7M7-JwhuXFJVRcIM96MwbBd8oUcMXMKSRkN28-XoyrrevdHiJzAhhvJqCkLuuvUGSTJ1wbenKaufwTtYG79UeY-bgCRd_z6Q6MGCKZ7fBgo8vlnMLAk.IJPul-JlmkfJnztlTBWRbXKhSgYN95IwwiEDL8wCfOk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723180250%26sprefix%3Dl%252Caps%252C256%26sr%3D8-300-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Zenbook Duo OLED (2024), 14"" (35.56cm) FHD OLED Touch Display, Intel Core Ultra 9 185H, Built-in AI, Dual Screen Laptop (32GB/1TB SSD/Intel Arc Graphics/Win11/Gray/1.65 Kg), UX8406MA-QL961WS  ","2,51,000",https://amezon.in//sspa/click?ie=UTF8&spc=MTo1MDIxNjM4MjQzMDI2MjE0OjE3MjMxODAwOTc6c3BfYXRmX25leHQ6MzAwMTY2ODc3NzkzNDMyOjowOjo&url=%2FASUS-Zenbook-35-56cm-Graphics-UX8406MA-QL961WS%2Fdp%2FB0CXPXLMBH%2Fref%3Dsr_1_113_sspa%3Fcrid%3D18GH7ZDODC7UD%26dib%3DeyJ2IjoiMSJ9.eRlnVeXjwRBpQAixk4gGLHzXtfGx7VgVVAMmmPdU1I_a-Zi6VfG1LhsCxqKYbwGsMxoS-6TjtJfaZ8IKCxbWZoPvssRbOY5mvJQK_UWSWGRzK8pKN1fO8IkVGATAWAMaGTymK8YNU9XomgeA0Ryp_761vgh2gPwL6ade-OMnhgs0dgr4g0-uiNSvCQ_I4Dl-YDLDLOz-Lt8WHrUQiVxzu2WMpuwwbUyqQJNDHoGRi4g.glT0vrDjd4ndWECsk_0LH1glE9Jc2ShYDjyPHIZNVkM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723180097%26sprefix%3Dl%252Caps%252C256%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ROG Zephyrus G16, Intel Core Ultra 9 185H, Built-in AI, NVIDIA GeForce RTX 4070,16"" 2.5K QHD+ (40.64cm) 240Hz, Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/Gray/1.85 Kg), GU605MI-QP253WS  ","2,19,990",https://amezon.in//ASUS-Zephyrus-GeForce-40-64cm-GU605MI-QP253WS/dp/B0D25W99M1/ref=sr_1_114?crid=18GH7ZDODC7UD&dib=eyJ2IjoiMSJ9.HRMzyn3X6uQvUpbW39ehTgUZ09f-bzgo0y5ABx76HUzegyAp6QsF4iREDhk7SDje9Iw8oGqj61GCDgMKPyBuDGxmqK06bUAB8rrByp68XV8xGhCTxVhU81VP5FPT6rAT75Dz7iVzhMRGXoN0N78wmGRQzfsAC5Ghzl0pAYl_S3OJ1DR63HHbe80VUehkWN6m9MqtM1q-3EU2h5BwEQ8nDEbwFVPe5ZXjYeLZAlT1-RE.EcIOEjITm8nNFVMeP7zjZcv3gcQrr6Vbu8djacaypBw&dib_tag=se&keywords=laptop&qid=1723180082&sprefix=l%2Caps%2C256&sr=8-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ROG Zephyrus G16, Intel Core Ultra 9 185H, Built-in AI, NVIDIA GeForce RTX 4070,16"" 2.5K QHD+ (40.64cm) 240Hz, Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/Gray/1.85 Kg), GU605MI-QP253WS  ","2,19,990",https://amezon.in//ASUS-Zephyrus-GeForce-40-64cm-GU605MI-QP253WS/dp/B0D25W99M1/ref=sr_1_116?crid=18GH7ZDODC7UD&dib=eyJ2IjoiMSJ9.eRlnVeXjwRBpQAixk4gGLHzXtfGx7VgVVAMmmPdU1I_a-Zi6VfG1LhsCxqKYbwGsMxoS-6TjtJfaZ8IKCxbWZoPvssRbOY5mvJQK_UWSWGRzK8pKN1fO8IkVGATAWAMaGTymK8YNU9XomgeA0Ryp_761vgh2gPwL6ade-OMnhgs0dgr4g0-uiNSvCQ_I4Dl-YDLDLOz-Lt8WHrUQiVxzu2WMpuwwbUyqQJNDHoGRi4g.glT0vrDjd4ndWECsk_0LH1glE9Jc2ShYDjyPHIZNVkM&dib_tag=se&keywords=laptop&qid=1723180097&sprefix=l%2Caps%2C256&sr=8-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11â€‘core CPU and 14â€‘core GPU, 18GB Unified Memory, 512GB) - Space Black  ","1,79,990",https://amezon.in//sspa/click?ie=UTF8&spc=MToyMzkyMTM3NzUxMTI0NjAzOjE3MjMxODAyMzc6c3BfYnRmOjMwMDA4NTQwMzIxODMzMjo6MDo6&url=%2FApple-MacBook-14-inch-11%25E2%2580%2591core-14%25E2%2580%2591core%2Fdp%2FB0CM5SRXP8%2Fref%3Dsr_1_294_sspa%3Fcrid%3D18GH7ZDODC7UD%26dib%3DeyJ2IjoiMSJ9.MSmlJdSYIyFN3FSwuoc3_EFXV1svJJX_PibnbCvGZP9FVvvaBJfuSw-710u_WmfoUrHDIkNGdNpfCFAGoUuEVuqBrmpNFI5KSfcwNU2KONO4K5dGKhTCSscI_JM0H6jZmpPIbGctH87rIm2Aqixq7Z1C--7iaWbuKf2VS4r5vV1DbAVJA4YKkLzCA9RdT6lEq5K0TFqZanTUhcOufNQMiRtYqqiOzcdc-uV1XnUpieA.RK1nw44rAoafbvEwWcpzgK_EKlkvCziQ5atqHHdePwY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723180237%26sprefix%3Dl%252Caps%252C256%26sr%3D8-294-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey  ","1,59,990",https://amezon.in//Apple-2024-MacBook-Laptop-chip/dp/B0CX24HFL7/ref=sr_1_296?crid=18GH7ZDODC7UD&dib=eyJ2IjoiMSJ9.yAgIJjVGUl1MPJEup47VNTy2cWCzPcr3kzNRu5t3s18lUatVl6bkADhTfA7f3bYfCGWA9mnqiFY6ytOM4b_rB3gVaKf7RloN7sDGBBp0xzlfKKDttYQP-V3y7M7-JwhuXFJVRcIM96MwbBd8oUcMXMKSRkN28-XoyrrevdHiJzAhhvJqCkLuuvUGSTJ1wbenKaufwTtYG79UeY-bgCRd_z6Q6MGCKZ7fBgo8vlnMLAk.IJPul-JlmkfJnztlTBWRbXKhSgYN95IwwiEDL8wCfOk&dib_tag=se&keywords=laptop&qid=1723180250&sprefix=l%2Caps%2C256&sr=8-296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2023 MacBook Pro (14-inch, M3 chip with 8â€‘core CPU and 10â€‘core GPU, 8GB Unified Memory, 512GB) - Space Grey  ","1,55,990",https://amezon.in//sspa/click?ie=UTF8&spc=MTo2MjQ3MjQxNjcxMDEyODc0OjE3MjMxODAyNTE6c3BfYnRmOjMwMDA4NTQwMzIxODQzMjo6MDo6&url=%2FApple-MacBook-14-inch-10%25E2%2580%2591core-Unified%2Fdp%2FB0CM5NR4SW%2Fref%3Dsr_1_309_sspa%3Fcrid%3D18GH7ZDODC7UD%26dib%3DeyJ2IjoiMSJ9.yAgIJjVGUl1MPJEup47VNTy2cWCzPcr3kzNRu5t3s18lUatVl6bkADhTfA7f3bYfCGWA9mnqiFY6ytOM4b_rB3gVaKf7RloN7sDGBBp0xzlfKKDttYQP-V3y7M7-JwhuXFJVRcIM96MwbBd8oUcMXMKSRkN28-XoyrrevdHiJzAhhvJqCkLuuvUGSTJ1wbenKaufwTtYG79UeY-bgCRd_z6Q6MGCKZ7fBgo8vlnMLAk.IJPul-JlmkfJnztlTBWRbXKhSgYN95IwwiEDL8wCfOk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723180250%26sprefix%3Dl%252Caps%252C256%26sr%3D8-309-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Zenbook 14 OLED, Intel Core Ultra 9 185H, 14.0-inch 3K OLED 120Hz, Thin & Light Laptop, Intel Arc(32GB/1TB SSD/Win11/Office 2021/Touch Screen/Backlit/75WHr/Foggy Silver/1.28 Kg), UX3405MA-PZ961WS  ","1,44,990",https://amezon.in//sspa/click?ie=UTF8&spc=MTozMzgyMDk2NTM4NjEzNDM4OjE3MjMxODAwNjk6c3BfYXRmX25leHQ6MzAwMjgyNzkxNTE4NTMyOjowOjo&url=%2FASUS-Zenbook-14-0-inch-Backlit-UX3405MA-PZ961WS%2Fdp%2FB0D4V1TQ9D%2Fref%3Dsr_1_82_sspa%3Fcrid%3D18GH7ZDODC7UD%26dib%3DeyJ2IjoiMSJ9.nxDyuMXFr3ZzforqIpjzbN99do7MuVswDiFOG3chtjuTWPwHalr_kMljZstaTJzKGnqNS-RlO3TUXPn1I5CPTUdZx-2Au4qFSVdh1-p_6gF3orBrhNi9NXedwbzcnLWoTBntjovRHwJcxZyV1hOzMuv3rXoZ7cwfOUFKh3xS0nf3CvebBLNGSckBVfwTeO43236n1B68GaJH_G-eiBc-SD7eiCmFjAt6YO3fENzDqv0.zL0ox4OSQoLLr6vTluOSw3_nqcwU8bhoH5aKTHfovOY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723180069%26sprefix%3Dl%252Caps%252C256%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
